,Sample,Age
0,GSM990385,63.0
1,GSM989849,93.0
2,GSM990329,50.0
3,GSM990480,66.0
4,GSM990116,59.0
5,GSM989855,72.0
6,GSM989848,68.0
7,GSM990517,32.0
8,GSM990621,70.0
9,GSM990485,52.0
10,GSM989840,54.0
11,GSM990059,73.0
12,GSM990307,64.0
13,GSM990327,42.0
14,GSM990384,53.0
15,GSM990279,46.0
16,GSM990432,79.0
17,GSM990516,55.0
18,GSM990000,80.0
19,GSM989837,82.0
20,GSM990337,67.0
21,GSM990594,75.0
22,GSM989990,56.0
23,GSM990027,83.0
24,GSM990009,63.0
25,GSM989904,89.0
26,GSM990500,29.0
27,GSM990097,38.0
28,GSM990020,85.0
29,GSM990386,59.0
30,GSM990465,67.0
31,GSM990505,48.0
32,GSM990562,90.0
33,GSM990548,66.0
34,GSM990576,85.0
35,GSM990611,69.0
36,GSM990091,45.0
37,GSM990294,55.0
38,GSM990017,77.0
39,GSM989939,62.0
40,GSM990397,80.0
41,GSM989996,33.0
42,GSM990512,60.0
43,GSM989851,74.0
44,GSM989937,53.0
45,GSM990273,63.0
46,GSM990355,45.0
47,GSM990440,65.0
48,GSM990317,57.0
49,GSM990372,58.0
50,GSM989979,58.0
51,GSM990334,58.0
52,GSM989959,69.0
53,GSM990369,38.0
54,GSM990321,59.0
55,GSM990057,62.0
56,GSM990360,63.0
57,GSM990502,41.0
58,GSM990507,34.0
59,GSM990446,53.0
60,GSM990445,78.0
61,GSM990437,76.0
62,GSM990421,89.0
63,GSM990571,85.0
64,GSM989843,68.0
65,GSM990405,66.0
66,GSM989856,75.0
67,GSM990624,71.0
68,GSM990555,73.0
69,GSM990348,76.0
70,GSM990356,52.0
71,GSM990104,70.0
72,GSM990375,26.0
73,GSM990019,66.0
74,GSM990278,46.0
75,GSM990359,62.0
76,GSM989874,66.0
77,GSM990366,63.0
78,GSM989933,78.0
79,GSM990270,49.0
80,GSM989883,57.0
81,GSM990365,57.0
82,GSM990032,70.0
83,GSM990584,88.0
84,GSM989892,62.0
85,GSM989829,66.0
86,GSM990545,69.0
87,GSM990320,59.0
88,GSM990567,73.0
89,GSM989894,72.0
90,GSM990010,70.0
91,GSM990530,49.0
92,GSM990464,56.0
93,GSM990068,67.0
94,GSM989997,38.0
95,GSM990590,71.0
96,GSM989827,67.0
97,GSM990336,61.0
98,GSM989999,47.0
99,GSM990494,72.0
100,GSM990328,59.0
101,GSM990416,61.0
102,GSM989889,62.0
103,GSM990627,73.0
104,GSM990099,64.0
105,GSM990438,56.0
106,GSM989929,75.0
107,GSM990535,49.0
108,GSM989932,69.0
109,GSM989869,77.0
